id,customer_id,order_date
1,76,2023-09-02
2,85,2020-07-31
3,11,2023-06-27
4,55,2024-02-28
5,60,2023-03-21
6,7,2023-07-29
7,49,2021-11-22
8,28,2024-07-21
9,42,2023-09-03
10,98,2023-12-09
11,36,2024-07-22
12,54,2023-07-15
13,11,2022-07-09
14,3,2019-12-10
15,45,2021-01-05
16,84,2023-05-02
17,100,2022-01-30
18,97,2022-02-24
19,32,2024-10-02
20,3,2021-01-24
21,31,2021-06-24
22,61,2024-11-18
23,15,2024-09-02
24,28,2024-08-01
25,90,2023-03-21
26,99,2024-12-28
27,22,2025-01-08
28,78,2024-12-09
29,92,2021-11-17
30,100,2022-10-10
31,40,2021-11-10
32,75,2024-12-09
33,40,2024-06-25
34,87,2025-03-30
35,49,2022-04-13
36,92,2022-05-08
37,10,2024-12-24
38,89,2021-12-31
39,14,2024-01-15
40,99,2024-12-11
41,88,2025-01-07
42,16,2024-07-10
43,6,2022-12-19
44,69,2024-05-18
45,85,2022-07-04
46,9,2024-06-11
47,83,2022-03-02
48,2,2024-11-28
49,54,2024-11-13
50,14,2022-07-24
51,47,2024-12-18
52,59,2020-09-26
53,56,2021-02-20
54,94,2024-12-06
55,84,2023-11-24
56,79,2024-10-31
57,100,2024-07-26
58,60,2024-08-22
59,94,2025-02-16
60,35,2024-12-06
61,32,2025-03-12
62,12,2022-09-20
63,58,2024-03-06
64,97,2024-07-31
65,73,2024-08-15
66,86,2023-09-12
67,44,2019-05-27
68,64,2023-04-13
69,24,2025-03-03
70,28,2024-04-10
71,34,2024-02-23
72,36,2024-11-30
73,77,2024-09-03
74,36,2024-01-03
75,2,2023-01-17
76,25,2021-12-09
77,31,2024-10-22
78,53,2024-09-18
79,72,2022-09-27
80,89,2024-08-13
81,83,2024-03-30
82,63,2024-08-02
83,3,2020-05-26
84,38,2025-01-18
85,52,2024-02-07
86,32,2024-10-29
87,85,2023-09-10
88,48,2024-05-18
89,71,2024-11-18
90,45,2022-02-21
91,96,2023-01-07
92,46,2025-01-30
93,35,2024-11-27
94,33,2024-11-08
95,16,2022-06-06
96,41,2023-07-10
97,96,2021-05-21
98,25,2022-09-03
99,95,2024-11-04
100,36,2024-06-23
101,76,2024-10-07
102,68,2024-08-20
103,37,2020-06-11
104,25,2023-02-13
105,30,2023-10-29
106,23,2023-08-31
107,2,2024-02-13
108,69,2022-09-08
109,36,2022-07-29
110,7,2025-03-21
111,38,2025-03-20
112,17,2024-06-29
113,97,2024-09-23
114,14,2025-01-09
115,2,2023-05-14
116,37,2022-07-07
117,62,2022-02-25
118,44,2021-02-23
119,7,2023-07-14
120,62,2020-04-27
121,9,2024-02-24
122,63,2020-05-23
123,74,2022-06-30
124,20,2022-12-15
125,73,2023-10-07
126,11,2021-04-10
127,16,2024-06-23
128,98,2024-01-16
129,78,2024-07-07
130,80,2023-05-15
131,100,2024-10-14
132,49,2022-08-01
133,57,2024-05-22
134,76,2022-11-29
135,40,2024-06-10
136,80,2022-06-10
137,79,2022-05-16
138,98,2023-06-16
139,81,2021-08-25
140,34,2025-01-16
141,11,2020-10-05
142,31,2021-09-29
143,71,2024-03-30
144,21,2021-05-19
145,53,2024-08-29
146,89,2024-07-18
147,38,2024-12-25
148,30,2023-08-16
149,91,2024-01-30
150,90,2024-04-29
151,10,2025-02-10
152,30,2023-07-22
153,81,2023-10-09
154,85,2024-12-08
155,26,2024-04-17
156,15,2024-08-13
157,29,2020-10-19
158,35,2024-09-04
159,10,2024-03-26
160,22,2025-02-24
161,40,2024-08-03
162,96,2022-07-19
163,57,2023-11-27
164,60,2023-11-26
165,90,2024-01-15
166,35,2025-03-07
167,70,2024-10-25
168,57,2023-10-13
169,77,2020-12-18
170,56,2022-10-12
171,78,2023-07-19
172,4,2022-02-13
173,30,2024-09-14
174,74,2022-04-24
175,98,2024-10-04
176,35,2024-07-14
177,98,2024-12-29
178,23,2024-08-09
179,67,2023-07-28
180,57,2024-05-02
181,24,2025-01-09
182,82,2025-02-03
183,63,2020-08-01
184,61,2023-01-29
185,53,2024-06-30
186,42,2022-05-14
187,21,2023-03-20
188,53,2025-01-01
189,64,2022-11-13
190,85,2022-09-04
191,98,2024-06-01
192,5,2024-12-23
193,12,2022-12-02
194,33,2024-12-01
195,15,2024-03-22
196,66,2023-07-13
197,85,2023-06-22
198,60,2024-07-07
199,7,2023-03-03
200,67,2021-12-11
