id,order_id,product_id,quantity
1,1,40,4
2,2,41,4
3,3,49,1
4,4,14,3
5,5,36,2
6,6,19,4
7,7,45,4
8,8,8,1
9,9,41,2
10,10,46,2
11,11,20,1
12,12,36,4
13,13,6,2
14,14,8,4
15,15,8,2
16,16,32,3
17,17,33,3
18,18,27,4
19,19,31,2
20,20,30,2
21,21,25,2
22,22,39,2
23,23,5,3
24,24,50,4
25,25,22,3
26,26,1,3
27,27,47,3
28,28,38,4
29,29,10,4
30,30,35,4
31,31,23,3
32,32,36,4
33,33,30,3
34,34,13,2
35,35,37,4
36,36,15,4
37,37,3,3
38,38,48,4
39,39,46,4
40,40,25,2
41,41,32,1
42,42,9,3
43,43,7,4
44,44,7,4
45,45,1,2
46,46,27,2
47,47,5,4
48,48,17,3
49,49,40,4
50,50,42,1
51,51,22,4
52,52,21,4
53,53,35,1
54,54,40,1
55,55,16,3
56,56,15,1
57,57,28,1
58,58,49,1
59,59,29,2
60,60,45,3
61,61,2,1
62,62,21,1
63,63,19,3
64,64,24,4
65,65,10,2
66,66,34,4
67,67,37,2
68,68,11,2
69,69,6,4
70,70,40,2
71,71,32,2
72,72,15,4
73,73,41,3
74,74,30,3
75,75,43,1
76,76,30,3
77,77,44,2
78,78,5,4
79,79,23,3
80,80,41,4
81,81,45,3
82,82,30,3
83,83,13,4
84,84,31,1
85,85,16,4
86,86,37,3
87,87,37,3
88,88,45,3
89,89,2,4
90,90,18,1
91,91,37,1
92,92,39,4
93,93,19,2
94,94,39,3
95,95,15,2
96,96,40,3
97,97,44,2
98,98,41,1
99,99,41,1
100,100,20,4
101,101,3,3
102,102,47,2
103,103,6,3
104,104,21,4
105,105,12,2
106,106,9,3
107,107,34,3
108,108,11,3
109,109,31,3
110,110,48,3
111,111,8,4
112,112,5,2
113,113,49,2
114,114,44,4
115,115,36,3
116,116,6,4
117,117,1,3
118,118,35,1
119,119,30,3
120,120,44,3
121,121,38,4
122,122,41,3
123,123,7,2
124,124,31,1
125,125,40,3
126,126,40,2
127,127,42,1
128,128,41,4
129,129,45,3
130,130,42,4
131,131,8,2
132,132,3,1
133,133,20,4
134,134,8,1
135,135,16,2
136,136,25,4
137,137,24,4
138,138,38,2
139,139,27,1
140,140,32,4
141,141,18,1
142,142,45,3
143,143,14,4
144,144,29,2
145,145,24,1
146,146,44,3
147,147,35,3
148,148,4,4
149,149,18,2
150,150,8,4
151,151,6,2
152,152,42,1
153,153,4,3
154,154,16,2
155,155,37,2
156,156,5,2
157,157,38,2
158,158,15,3
159,159,50,2
160,160,39,1
161,161,18,2
162,162,9,3
163,163,12,1
164,164,43,1
165,165,9,1
166,166,23,2
167,167,38,3
168,168,2,2
169,169,17,1
170,170,9,4
171,171,34,1
172,172,48,1
173,173,31,4
174,174,50,3
175,175,33,1
176,176,29,2
177,177,40,1
178,178,47,3
179,179,30,1
180,180,4,4
181,181,26,4
182,182,44,1
183,183,32,4
184,184,5,1
185,185,21,2
186,186,5,2
187,187,18,3
188,188,25,3
189,189,30,4
190,190,7,1
191,191,42,2
192,192,28,4
193,193,15,4
194,194,22,4
195,195,26,4
196,196,47,1
197,197,21,4
198,198,21,3
199,199,24,2
200,200,44,4
