id,customer_id,product_id,order_id,rating,review_text,review_date
1,98,49,175,3,Solid quality for the price.,2024-11-11
2,40,29,135,4,Solid quality for the price.,2024-07-13
3,53,8,145,3,Would buy again without hesitation.,2024-09-01
4,59,37,52,5,"Quality could be better, but customer service helped.",2020-10-30
5,76,29,134,4,"Great value, already telling my friends.",2022-12-06
6,11,6,126,4,"Absolutely love it, highly recommend!",2021-06-06
7,62,9,117,5,"Great value, already telling my friends.",2022-03-29
8,45,36,15,4,Fantastic experience from checkout to delivery.,2021-02-03
9,42,2,186,5,"Absolutely love it, highly recommend!",2022-06-08
10,98,14,191,5,Exceeded my expectations!,2024-07-08
11,71,45,89,4,"Absolutely love it, highly recommend!",2024-11-22
12,97,31,18,5,Shipping was fast and the product works great.,2022-02-26
13,85,9,197,4,Exceeded my expectations!,2023-08-10
14,41,25,96,3,Exceeded my expectations!,2023-08-07
15,96,6,97,2,Would buy again without hesitation.,2021-07-03
16,49,42,35,5,Shipping was fast and the product works great.,2022-06-07
17,98,26,138,5,Not quite what I expected but still decent.,2023-07-19
18,76,49,1,1,Packaging was damaged but product survived.,2023-09-03
19,30,47,173,5,Exceeded my expectations!,2024-10-18
20,94,16,59,5,Fantastic experience from checkout to delivery.,2025-03-17
21,54,47,49,5,Exceeded my expectations!,2024-12-31
22,35,50,158,3,"Absolutely love it, highly recommend!",2024-11-02
23,12,14,62,5,"Absolutely love it, highly recommend!",2022-09-24
24,2,39,115,4,"Absolutely love it, highly recommend!",2023-06-26
25,58,48,63,5,Not quite what I expected but still decent.,2024-03-08
26,81,14,139,3,"Absolutely love it, highly recommend!",2021-10-12
27,92,33,36,5,"Great value, already telling my friends.",2022-05-26
28,63,37,82,3,"Quality could be better, but customer service helped.",2024-09-09
29,32,20,61,5,Would buy again without hesitation.,2025-05-07
30,100,27,57,5,Would buy again without hesitation.,2024-08-14
31,30,48,152,5,Exceeded my expectations!,2023-09-18
32,71,32,143,1,Exceeded my expectations!,2024-04-02
33,40,21,135,5,Shipping was fast and the product works great.,2024-07-24
34,31,25,77,3,Packaging was damaged but product survived.,2024-11-02
