id,name,category,price
1,Skin Care Set,Beauty,264.76
2,Adjustable Dumbbells,Fitness,188.47
3,Wireless Earbuds,Electronics,315.35
4,Wireless Earbuds,Electronics,258.49
5,Hair Dryer,Beauty,207.18
6,Travel Backpack,Outdoors,104.0
7,Electric Toothbrush,Beauty,376.59
8,Toaster,Home,288.86
9,Electric Toothbrush,Beauty,418.53
10,Hiking Boots,Outdoors,112.99
11,Fitness Tracker,Fitness,237.84
12,Electric Toothbrush,Beauty,114.71
13,Electric Toothbrush,Beauty,93.15
14,Wireless Earbuds,Electronics,262.57
15,Fitness Tracker,Fitness,55.76
16,Coffee Maker,Home,120.07
17,Air Purifier,Home,21.97
18,Blender,Home,309.52
19,Smartwatch,Electronics,213.08
20,Adjustable Dumbbells,Fitness,361.99
21,Hair Dryer,Beauty,205.83
22,Vacuum Cleaner,Home,447.4
23,Smartwatch,Electronics,117.23
24,Foam Roller,Fitness,34.61
25,Vacuum Cleaner,Home,233.67
26,Electric Toothbrush,Beauty,270.25
27,Fitness Tracker,Fitness,475.52
28,Electric Toothbrush,Beauty,409.35
29,Foam Roller,Fitness,416.98
30,Foam Roller,Fitness,449.63
31,Hair Dryer,Beauty,137.0
32,Coffee Maker,Home,385.25
33,Foam Roller,Fitness,317.11
34,Cooler,Outdoors,47.97
35,Travel Backpack,Outdoors,143.14
36,Camping Tent,Outdoors,77.8
37,Blender,Home,350.04
38,Vacuum Cleaner,Home,213.29
39,Cooler,Outdoors,213.73
40,Blender,Home,200.84
41,Yoga Mat,Fitness,429.8
42,Foam Roller,Fitness,243.72
43,Hiking Boots,Outdoors,379.2
44,Electric Toothbrush,Beauty,376.28
45,Adjustable Dumbbells,Fitness,249.23
46,Cooler,Outdoors,247.96
47,Hair Dryer,Beauty,337.75
48,Electric Toothbrush,Beauty,90.87
49,Skin Care Set,Beauty,490.55
50,Yoga Mat,Fitness,454.4
